rank,covergroup,plan_id,ledger,bins_referenced,coverpoints_referenced,coverpoints,manifests,manifest_bins,manifests_completed_at_this_rank,plan_anchor
14,gen_cmp_zcb_cg,CG-CMP-005,no,83,12,cp_addr_align (3); cp_alu_operand (5); cp_data_sign (2); cp_insn (11); cp_regs (2); cp_uimm_b (4); cp_uimm_h (2); cr_alu_operand (25); cr_half_misaligned (9); cr_load_sign (6); cr_ls_b (8); cr_ls_h (6),3,gen_test_bit_ratified (3); gen_test_cmp_zcb (81); gen_test_mul_mul (3),gen_test_cmp_zcb,gen_fcov_plan.md:703 ### CG-CMP-005: gen_cg_cmp_zcb
15,gen_cmp_imm_edges_cg,CG-CMP-002,no,78,16,cp_addi16sp_imm (5); cp_addi4spn_imm (3); cp_cb_off (5); cp_ci_imm6 (5); cp_ci_op (3); cp_cj_off (4); cp_link (1); cp_lui_imm (5); cp_lw_sw_uimm (3); cp_shamt (3); cp_shift_op (3); cp_sp_uimm (3); cp_sp_wrap (2); cr_ci (14); cr_shift (9); cr_sp_wrap (10),2,gen_test_cmp_zca (78); gen_test_isa_cti (1),-,gen_fcov_plan.md:653 ### CG-CMP-002: gen_cg_cmp_imm_edges
16,gen_isa_jump_cg,CG-ISA-006,no,64,14,cp_jal_off (2); cp_jalr_imm (6); cp_jalr_rs1 (2); cp_link_len (2); cp_op (6); cp_pc_region (1); cp_rd_class (4); cp_target_align (2); cp_target_odd (2); cr_jal_off_rd (8); cr_jalr_rs1_imm (12); cr_link (4); cr_odd (3); cr_op_align (10),2,gen_test_cmp_zca (15); gen_test_isa_cti (61),gen_test_cmp_zca; gen_test_isa_cti,gen_fcov_plan.md:417 ### CG-ISA-006: gen_cg_isa_jump
17,gen_isa_hint_x0_cg,CG-ISA-005,no,58,4,cp_hint_class (25); cp_writer_class (14); cp_x0_read (3); cr_writer_read (16),3,gen_test_bit_ratified (2); gen_test_isa_alu (58); gen_test_mul_div (2),gen_test_bit_ratified,gen_fcov_plan.md:406 ### CG-ISA-005: gen_cg_isa_hint_x0
18,gen_isa_lui_auipc_cg,CG-ISA-004,no,32,9,cp_imm20 (5); cp_op (2); cp_pc_align (2); cp_pc_region (1); cp_rd_x0 (2); cp_wrap (2); cr_auipc_pc (4); cr_op_imm (10); cr_op_rd_x0 (4),1,gen_test_isa_alu (32),gen_test_isa_alu,gen_fcov_plan.md:390 ### CG-ISA-004: gen_cg_isa_lui_auipc
19,gen_cmp_zcmp_hazard_cg,CG-CMP-009,no,28,8,cp_delta_uop (2); cp_ft_kind (6); cp_hazard (11); cp_redirect_once (1); cp_ret_once (1); cp_rlist_class (2); cr_ft_kind (2); cr_hazard_rlist (3),1,gen_test_cmp_zcmp_basic (28),gen_test_cmp_zcmp_basic,gen_fcov_plan.md:792 ### CG-CMP-009: gen_cg_cmp_zcmp_hazard
20,gen_div_timing_cg,CG-MUL-004,no,19,8,cp_delta (1); cp_dit (1); cp_div0 (2); cp_fetch_stall (1); cp_op (4); cp_wb_defer (1); cr_dit_div0_delta (1); cr_op_div0 (8),1,gen_test_mul_div (19),gen_test_mul_div,gen_fcov_plan.md:595 ### CG-MUL-004: gen_cg_div_timing
21,gen_ic_ecc_cg,CG-IC-006,no,13,7,cp_alert_pulses (1); cp_beat (2); cp_bits (2); cp_major_nmi_quiet (1); cp_no_alert_case (3); cp_ram (2); cp_way (2),10,gen_ut_lockstep_icache_ecc (7); gen_ut_lockstep_icache_ecc_both (11); gen_ut_lockstep_icache_ecc_data (10); gen_ut_lockstep_icache_ecc_data_noprobe (10); gen_ut_lockstep_icache_ecc_data_two (10); gen_ut_lockstep_icache_ecc_far_data (9); gen_ut_lockstep_icache_ecc_far_data_noprobe (8); gen_ut_lockstep_icache_ecc_fcov_red (1); gen_ut_lockstep_icache_ecc_tag_disabled (6); gen_ut_lockstep_icache_ecc_tag_two (7),gen_ut_lockstep_icache_ecc; gen_ut_lockstep_icache_ecc_both; gen_ut_lockstep_icache_ecc_data; gen_ut_lockstep_icache_ecc_data_noprobe; gen_ut_lockstep_icache_ecc_data_two; gen_ut_lockstep_icache_ecc_far_data; gen_ut_lockstep_icache_ecc_far_data_noprobe; gen_ut_lockstep_icache_ecc_fcov_red; gen_ut_lockstep_icache_ecc_tag_disabled; gen_ut_lockstep_icache_ecc_tag_two,gen_fcov_plan.md:4795 ### CG-IC-006: gen_cg_ic_ecc
22,gen_mul_timing_cg,CG-MUL-002,no,8,5,cp_delta (1); cp_fetch_stall (1); cp_op (3); cp_wb_busy (1); cr_op_delta_clean (2),1,gen_test_mul_mul (8),gen_test_mul_mul,gen_fcov_plan.md:558 ### CG-MUL-002: gen_cg_mul_timing
23,gen_rst_boot_cg,CG-RST-001,no,2,2,cp_boot_addr (1); cp_first_event (1),1,gen_test_rst_boot (2),-,gen_fcov_plan.md:5722 ### CG-RST-001: gen_cg_rst_boot
24,gen_rvfi_record_cg,CG-RVFI-001,no,2,1,cp_mode (2),1,gen_test_rst_boot (2),-,gen_fcov_plan.md:5887 ### CG-RVFI-001: gen_cg_rvfi_record
25,gen_sec_ctrl_inputs_cg,CG-SEC-005,no,2,2,cp_bit8_readback (1); cp_bits67_readback (1),1,gen_test_rst_boot (2),gen_test_rst_boot,gen_fcov_plan.md:5621 ### CG-SEC-005: gen_cg_sec_ctrl_inputs
